[0.000000] (-) TimerEvent: {}
[0.002171] (-) JobUnselected: {'identifier': 'example_executor_with_multiple_modes_cpp'}
[0.002365] (-) JobUnselected: {'identifier': 'example_global_navigation_cpp'}
[0.002390] (-) JobUnselected: {'identifier': 'example_local_navigation_cpp'}
[0.002409] (-) JobUnselected: {'identifier': 'example_mode_fw_attitude_cpp'}
[0.002425] (-) JobUnselected: {'identifier': 'example_mode_goto_cpp'}
[0.002441] (-) JobUnselected: {'identifier': 'example_mode_goto_global_cpp'}
[0.002456] (-) JobUnselected: {'identifier': 'example_mode_manual_cpp'}
[0.002472] (-) JobUnselected: {'identifier': 'example_mode_mission_cpp'}
[0.002486] (-) JobUnselected: {'identifier': 'example_mode_rtl_replacement_cpp'}
[0.002502] (-) JobUnselected: {'identifier': 'example_mode_vtol_cpp'}
[0.002517] (-) JobUnselected: {'identifier': 'example_mode_with_executor_cpp'}
[0.002533] (-) JobUnselected: {'identifier': 'example_rover_velocity_mode_cpp'}
[0.002548] (-) JobUnselected: {'identifier': 'my_mixed_pkg'}
[0.002563] (-) JobUnselected: {'identifier': 'px4_example_node'}
[0.002578] (-) JobUnselected: {'identifier': 'px4_msgs'}
[0.002594] (-) JobUnselected: {'identifier': 'px4_offboard'}
[0.002609] (-) JobUnselected: {'identifier': 'px4_ros2_cpp'}
[0.002624] (-) JobUnselected: {'identifier': 'px4_ros_com'}
[0.002640] (-) JobUnselected: {'identifier': 'sim_topic_bridge'}
[0.002657] (-) JobUnselected: {'identifier': 'uav_navigation'}
[0.002680] (-) EventReactorShutdown: {}
